Parish,Value
Keila linn,92042
Loksa linn,28598
Maardu linn,80690
Paldiski linn,37911
Saue linn,31085
Tallinna linn,1049008
Aegviidu vald,15882
Anija vald,64476
Harku vald,61675
Jõelähtme vald,64125
Keila vald,27450
Kernu vald,30716
Kiili vald,20793
Kose vald,74635
Kuusalu vald,70337
Kõue vald,26716
Loksa vald,0
Nissi vald,37344
Padise vald,28181
Raasiku vald,55653
Rae vald,83048
Saku vald,52448
Saue vald,72010
Vasalemma vald,35752
Viimsi vald,55979
Kärdla linn,32064
Emmaste vald,9961
Kõrgessaare vald,18263
Käina vald,21823
Pühalepa vald,30184
Jõhvi linn,0
Kiviõli linn,39004
Kohtla-Järve linn,453210
Narva linn,433752
Narva-Jõesuu linn,17402
Püssi linn,9420
Sillamäe linn,186263
Alajõe vald,11059
Aseri vald,35247
Avinurme vald,29543
Iisaku vald,24247
Illuka vald,21038
Jõhvi vald,96936
Kohtla vald,8140
Kohtla-Nõmme vald,24262
Lohusuu vald,21415
Lüganuse vald,29666
Maidla vald,28493
Mäetaguse vald,41687
Sonda vald,26054
Toila vald,31754
Tudulinna vald,15391
Vaivara vald,38742
Jõgeva linn,54686
Mustvee linn,26676
Põltsamaa linn,66102
Jõgeva vald,55386
Kasepää vald,16181
Pajusi vald,25406
Pala vald,21177
Palamuse vald,24388
Puurmani vald,33023
Põltsamaa vald,23756
Saare vald,30060
Tabivere vald,37808
Torma vald,28729
Paide linn,90998
Türi linn,0
Albu vald,21231
Ambla vald,43598
Imavere vald,24696
Järva-Jaani vald,34931
Kabala vald,0
Kareda vald,15764
Koeru vald,37772
Koigi vald,19949
Lehtse vald,0
Oisu vald,0
Paide vald,28101
Roosna-Alliku vald,25819
Türi vald,170278
Väätsa vald,15640
Haapsalu linn,122726
Hanila vald,46683
Kullamaa vald,26286
Lihula vald,60043
Martna vald,23509
Noarootsi vald,17404
Nõva vald,11604
Oru vald,14566
Ridala vald,33136
Risti vald,16051
Taebla vald,26825
